"codigo_rnt","estado_rnt","razon_social_establecimiento","departamento","cod_dpto","municipio","cod_mun","nit","categoria","sub_categoria","habitaciones","camas","num_emp1","ano"
"11","ACTIVO","BCD TRAVEL OFICINA PRINCIPAL","BOGOTA","11","BOGOTA D.C.","11001","800078692","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","367","2019"
"20","ACTIVO","LUBEL.COM","BOGOTA","11","BOGOTA D.C.","11001","860501706","OFICINAS DE REPRESENTACION TURÍSTICA","OFICINA DE REPRESENTACIÓN TURÍSTICA","0","0","3","2019"
"43","ACTIVO","HOTEL LOS BALCONES","CAUCA","19","POPAYAN","19001","891501824","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","8","16","4","2019"
"55","ACTIVO","AGRUPACION DE REPRESENTACIONES COMERCIALES","BOGOTA","11","BOGOTA D.C.","11001","860352462","OFICINAS DE REPRESENTACION TURÍSTICA","OFICINA DE REPRESENTACIÓN TURÍSTICA","0","0","8","2019"
"56","ACTIVO","REVEL REPRESENTACIONES TURISTICAS","BOGOTA","11","BOGOTA D.C.","11001","860527703","OFICINAS DE REPRESENTACION TURÍSTICA","OFICINA DE REPRESENTACIÓN TURÍSTICA","0","0","6","2019"
"61","ACTIVO","AVIATUR CARTAGENA","BOLIVAR","13","CARTAGENA","13001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","38","2019"
"68","ACTIVO","AVIATUR CALI LA FLORA","VALLE DEL CAUCA","76","CALI","76001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","57","2019"
"72","ACTIVO","AVIATUR CIUDAD JARDIN","VALLE DEL CAUCA","76","CALI","76001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","2","2019"
"73","ACTIVO","AVIATUR AVENIDA COLOMBIA","VALLE DEL CAUCA","76","CALI","76001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","3","2019"
"79","ACTIVO","AVIATUR BARRANQUILLA","ATLANTICO","8","BARRANQUILLA","8001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","22","2019"
"86","ACTIVO","AVIATUR MEDELLIN","ANTIOQUIA","5","MEDELLIN","5001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","95","2019"
"87","ACTIVO","INVERSIONES AEREAS INVERSA S.A.S","RISARALDA","66","PEREIRA","66001","860034917","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","10","2019"
"88","ACTIVO","AVIATUR AEROPARQUE OLAYA HERRERA","ANTIOQUIA","5","MEDELLIN","5001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","3","2019"
"89","ACTIVO","AVIATUR VILLANUEVA","ANTIOQUIA","5","MEDELLIN","5001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","1","2019"
"90","ACTIVO","AVIATUR MILLA DE ORO","ANTIOQUIA","5","MEDELLIN","5001","860000018","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","4","2019"
"106","ACTIVO","HOTEL CABO DE LA VELA","ANTIOQUIA","5","MEDELLIN","5001","811007612","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","34","53","16","2019"
"109","ACTIVO","VAJAMAR HOTEL","CESAR","20","VALLEDUPAR","20001","892300879","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","60","68","40","2019"
"110","ACTIVO","PANAMERICANA DE VIAJES SAS PRINCIPAL","BOGOTA","11","BOGOTA D.C.","11001","860402288","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES Y DE TURISMO","0","0","182","2019"
